Spotify;Titol;Cantant;Any
spotify:track:0yUsNnKCxe7r68qzEjbOaB;Carolina;M-Clan;2001
spotify:track:51qi5dgc9CsotM87GmRkAX;Don't Leave Me This Way;Thelma Houston;1976
spotify:track:5jUA1njy3h6ynHLvPdEVHt;Disco Inferno;The Trammps;1976
spotify:track:79HTe42PihWUUq4BDjcuCq;Usted;Juan MagÃ¡n, Mala RodrÃ­guez;2016
spotify:track:1Jaah2tmN9Hv81A87KZ1MU;Torn;Natalie Imbruglia;1997
spotify:track:09lZ2Mx2NSpzy6KBpX2kDq;Gimme Hope Jo'Anna;Eddy Grant;1988
spotify:track:78WVLOP9pN0G3gRLFy1rAa;Piano Man;Billy Joel;1973
spotify:track:4MLBqAEzNN89o2M9h92Z26;Get Back - Remastered 2009;The Beatles;1969
spotify:track:08HeIb9BidFjKROf9ptln0;Eres TÃº;Mocedades;1973
spotify:track:3XIEWK1V9n25PS9Vb6axj5;Born to Be Alive - The Original;Patrick Hernandez;1978
spotify:track:1Wrzhfa5bNlqvsnCztz190;DevuÃ©lveme a mi chica;Hombres G;1985
spotify:track:3XDeeP9wBZzGhIPZmLfEEx;Karma Chameleon;Culture Club;1983
spotify:track:1Jwc3ODLQxtbnS8M9TflSP;Walk Like an Egyptian;The Bangles;1986
spotify:track:4H1iMlEWKZmpKTHCZzDhju;You Can't Hurry Love;The Supremes;1966
spotify:track:3Th2of8xIYyImVLXUbzaTp;Tenia Tanto Que Darte;Nena Daconte;2008
spotify:track:0UY0JLj9kxOlgF6FHogCmX;Mala Vida;Mano Negra;1988
spotify:track:7lQWRAjyhTpCWFC0jmclT4;Gangsta's Paradise;Coolio, L.V.;1995
spotify:track:2knr7ikPt4l7bk92qS4ZXW;Euphoria;Loreen;2012
spotify:track:2wvmkXG4foIJ2xUiwLhBjA;Moving;Macaco;2009
spotify:track:3BdId1EhcMX7yAzwzQJLAD;Barcelona;Freddie Mercury, Montserrat CaballÃ©;1987
spotify:track:3WMbD1OyfKuwWDWMNbPQ4g;Daddy Cool;Boney M.;1976
spotify:track:1r299qCKBLgUS9XJ9m1kEx;Moves Like Jagger;Maroon 5, Christina Aguilera;2011
spotify:track:3PQLYVskjUeRmRIfECsL0X;No Woman No Cry;Bob Marley & The Wailers;1974
spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;Te Estoy Amando Locamente;Las Grecas;1974
spotify:track:0TK2YIli7K1leLovkQiNik;SeÃ±orita;Shawn Mendes, Camila Cabello;2019
spotify:track:2goLsvvODILDzeeiT4dAoR;Believe;Cher;1998
spotify:track:5IVuqXILoxVWvWEPm82Jxr;Crazy In Love (feat. Jay-Z);BeyoncÃ©, JAY-Z;2003
spotify:track:1kgBwPl0UUHz97Krp65zF4;Me encanta - I Love It;Nancys Rubias;2010
spotify:track:7mitXLIMCflkhZiD34uEQI;Party Rock Anthem;LMFAO, Lauren Bennett, GoonRock;2011
spotify:track:0DjSa6czo5ywsf6iCtZW5A;Cannabis;Ska-P;1999
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;El Secreto de las Tortugas;Maldita Nerea;2009
spotify:track:2tpWsVSb9UEmDRxAl1zhX1;Counting Stars;OneRepublic;2013
spotify:track:7BYqVvoXpQFhs4jJ0qqNZt;Entre dos tierras;Heroes Del Silencio;1990
spotify:track:1EjQRTG53jsinzk2xlVVJP;Enjoy the Silence - 2006 Remaster;Depeche Mode;1990
spotify:track:4wzt5Rrk3W98pHXAqutuJw;Talk;Coldplay;2005
spotify:track:3unsLiH5FXmaDWtT5Imolu;Fallin';Alicia Keys;2001
spotify:track:1ApXNkjfjxkSDoezO8Kh8g;La, La, La;Massiel;1968
spotify:track:7gEpTMp9MQc1uJwivtL37R;Do Wah Diddy Diddy;Manfred Mann;1964
spotify:track:3JOXwHPhtdRU3kYKcf64Gj;Pero a tu lado;Los Secretos;1995
spotify:track:3d9DChrdc6BOeFsbrZ3Is0;Under the Bridge;Red Hot Chili Peppers;1991
spotify:track:3U4isOIWM3VvDubwSI3y7a;All of Me;John Legend;2013
spotify:track:0OMRAvrtLWE2TvcXorRiB9;La Gozadera (feat. Marc Anthony);Gente De Zona, Marc Anthony;2015
spotify:track:1PZrHbJjt5t7dP9OGRxcD0;Dale Don Dale;Don Omar;2003
spotify:track:59bqZ237MW9CvFRLqu6Dgg;Te he echado de menos - Radio Edit;Pablo AlborÃ¡n;2012
spotify:track:5U4pDBaeq2Jl2dKuWWUSsh;Ave MarÃ­a;David Bisbal;2002
spotify:track:5vj59ONIVbyhcrI8ZSwoRo;Sofia;Alvaro Soler;2016
spotify:track:4JOsL8WntMIwDeNQlKAwdA;Me ColÃ© en una Fiesta;Mecano;1981
spotify:track:17qIyxyDWmNP7Rn11eprMt;Tequila;The Champs;1958
spotify:track:0PCGfA36HrVPmsBZJ57zOU;"Love Is All Around - From ""Four Weddings And A Funeral""";Wet Wet Wet;1994
spotify:track:1JSTJqkT5qHq8MDJnJbRE1;Every Breath You Take;The Police;1983
spotify:track:4unOsvr9C2NqI9aJXrxpCy;Sirenas;Taburete;2017
spotify:track:6zdXA5yUvKnoTJwyZCnYOM;Sabor de amor - VersiÃ³n 1988;Danza Invisible;1988
spotify:track:3Ud6fFep5ZlXzRWw6Sm8no;Walk Of Life;Dire Straits;1985
spotify:track:5adqS3stLaSPAEOszOnpXG;DUELE EL CORAZON;Enrique Iglesias, Wisin;2016
spotify:track:5xzdDMhFYiuUONB0Mha9VS;The Locomotion;Little Eva;1962
spotify:track:2LsbizbOeNa4x6qsi2jAMb;La flaca;Jarabe De Palo;1997
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ;CorazÃ³n partÃ­o;Alejandro Sanz;1997
spotify:track:1s4hyUFWmLWiAamsclb4xA;See You Later, Alligator;Bill Haley & His Comets;1956
spotify:track:7EZC6E7UjZe63f1jRmkWxt;Zombie;The Cranberries;1994
spotify:track:1eCie6lwjb4crxeAvkRaSi;Y Nos Dieron las Diez;JoaquÃ­n Sabina;1990
spotify:track:1VB4sadHjFcFklHcZuoROi;Como CamarÃ³n;Estopa;2001
spotify:track:3uU6dqBjVKRTPis0RrTaT4;Las de la IntuiciÃ³n;Shakira;2006
spotify:track:5QhOF5HXgZ0OFUZSE5kEv1;Nada Fue Un Error;Coti, AndrÃ©s Calamaro;2004
spotify:track:1eRgClFGphd2MgpyIBsbfS;Â¡Chas! Y aparezco a tu lado;Alex Y Christina;1987
spotify:track:3OeUlriM0EZHdWleJtjoVr;Got My Mind Set On You - Remastered 2004;George Harrison;1987
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW;MarÃ­a;Ricky Martin;1995
spotify:track:5dg7OfEwTVvUZfqt24ObwI;SÃ³lo Se Vive una Vez;Azucar Moreno;1990
spotify:track:7e89621JPkKaeDSTQ3avtg;Sweet Home Alabama;Lynyrd Skynyrd;1974
spotify:track:7LpS82vPDLgZAHWRtWBBRj;Ni tÃº ni nadie;Alaska Y Dinarama;1984
spotify:track:5R8dQOPq8haW94K7mgERlO;Poker Face;Lady Gaga;2008
spotify:track:0Ouv1zi0SXDnFtREEsps4K;Flamenco;Los Brincos;1964
spotify:track:2LjiPAQOVazT8sRyXL3XRs;Informer;Snow;1992
spotify:track:6gMyJAtpnAOU92I9hjpSNe;SueÃ±o Su Boca;Raul;2000
spotify:track:5zWZ9iNevP0397xB3jWV2z;Brother Louie;Modern Talking;1986
spotify:track:48i055G1OT5KxGGftwFxWy;Oh, Pretty Woman;Roy Orbison;1964
spotify:track:1k4kMMTPN5Yc0KdMxtMTuj;Los Chicos Con las Chicas;Los Bravos;1967
spotify:track:4Tv8mqQc83OsQVXO4I0FTA;LloverÃ¡ y yo verÃ©;La Pegatina;2018
spotify:track:4awJGQ6TIS542X4XS7PWu7;A Tu Vera;Lola Flores;1959
spotify:track:20WaSPMyeIO7NntPpn1FM5;Desesperada;Marta SÃ¡nchez;1993
spotify:track:0KM2y796j63t5RHhvRUxld;Relax, Take It Easy;MIKA;2007
spotify:track:74anwTmdyvA3f8RUtCQqKD;DÃ©jame;Los Secretos;1980
spotify:track:0Fyj9w0HVfjoxm9S8nGClt;Orinoco Flow;Enya;1988
spotify:track:57Y3UccJEJqT8w8RWkUAz0;Upside Down;Diana Ross;1980
spotify:track:4OSBTYWVwsQhGLF9NHvIbR;Rolling in the Deep;Adele;2010
spotify:track:4chpfrjIqrOPshlDU4ZrKe;Chica de ayer;Nacha Pop;1980
spotify:track:2DnJjbjNTV9Nd5NOa1KGba;You're So Vain;Carly Simon;1972
spotify:track:7H8zey5My6uNdD2TxeCb9F;Don't Speak;No Doubt;1996
spotify:track:35hfuechuOqaW31ogdauO7;It's In The Kiss (The Shoop Shoop Song);Betty Everett;1964
spotify:track:1ILbD4eWKWvg8ub5qJyBTP;Joyride;Roxette;1991
spotify:track:5xXYuYk2CzHfk3kLKYmRRb;Ni Una Sola Palabra;Paulina Rubio;2006
spotify:track:7j74lucZ59vqN67Ipe2ZcY;Maneater;Daryl Hall & John Oates;1982
spotify:track:0aGKNekx2JAxGzza802fnC;The Ketchup Song (AserejÃ©) - Spanish Version;Las Ketchup;2002
spotify:track:3Emr4aPhkNoMHPF5N5i6QD;Campanera;Ana Maria;1957
spotify:track:3N4DI1vuTSX1tz7fa2NQZw;Rehab;Amy Winehouse;2006
spotify:track:4qEHMJyER7OntYTtPsIT1W;11 Razones;Aitana;2020
spotify:track:44AyOl4qVkzS48vBsbNXaC;Can't Help Falling in Love;Elvis Presley;1961
spotify:track:3Fzlg5r1IjhLk2qRw667od;Dancing in the Moonlight;Toploader;2000
spotify:track:3iB8eciGU9vZkaDYkz7Ir9;Bamboleo;Gipsy Kings;1987
spotify:track:6b37xrsNCWYIUphFBazqD6;Me Gustas TÃº;Manu Chao;2001
spotify:track:4FdwRmlzP5KGM7OewGBYiu;OlvÃ­dame y Pega la Vuelta;Pimpinela;1982
spotify:track:017PF4Q3l4DBUiWoXk4OWT;Break My Heart;Dua Lipa;2020
spotify:track:6uW0PIRcyZLvkoonm763xD;Contando Lunares (feat. Cruz CafunÃ©);Don Patricio, Cruz CafunÃ©;2019
spotify:track:7s25THrKz86DM225dOYwnr;Respect;Aretha Franklin;1967
spotify:track:6mOZfn6CVXsX1Tt0l3thm3;Sin documentos;Los Rodriguez;1993
spotify:track:7qiZfU4dY1lWllzX7mPBI3;Shape of You;Ed Sheeran;2017
spotify:track:7HKez549fwJQDzx3zLjHKC;Start Me Up - Remastered 2009;The Rolling Stones;1981
spotify:track:1q8NdCAQ9QUjpYiqzdd3mv;AtrÃ©vete-Te-Te;Calle 13;2005
spotify:track:74mVYAylZcHEY4WVFoFplV;Space Oddity - 1999 Remaster;David Bowie;1969
spotify:track:2LpCMTQ8VM1ssTdfLjeyzQ;Pena Penita Pena;Lola Flores;1953
spotify:track:2IHaGyfxNoFPLJnaEg4GTs;"What Is Love - 7"" Mix";Haddaway;1993
spotify:track:02dphTJYUQ9pmdNC52iyOz;Fiesta Pagana;MÃ¤go de Oz;2000
spotify:track:2zNDRGoRkNEkMhO5fcGTMv;Sarandonga;Lolita;2002
spotify:track:3VNxbWlw9oVvxSnSbeiCBb;Cadillac solitario;Loquillo;1983
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Pereza;2005
spotify:track:2Ms33RTRCT6gArrpcrPxmo;Feel;Robbie Williams;2002
spotify:track:1he4G9w0zh5GokInpOSINW;Ni La Hora;Ana Guerra, Juan MagÃ¡n;2018
spotify:track:1dgi28o666VmqNP1JALauv;La Escoba;Los Sirex;1965
spotify:track:6kFowCmp5RNQhsK8LzC0gp;Mis Manos en Tu Cintura;Adamo;1966
spotify:track:5xv4ggemGPNpowZAMwEYHH;Girlfriend - Radio Edit;Avril Lavigne;2007
spotify:track:1gNXYvLc14OmqK6gSJKLUM;Como una Ola;RocÃ­o Jurado;1981
spotify:track:61VeJ59zufLceZXb1SSVKu;Help, Ã¡yudame;Tony Ronald;1971
spotify:track:1SOAN58QwnQABl2SND1wMh;Congratulations - 1998 Remaster;Cliff Richard;1968
