Spotify;Titol;Cantant;Any
spotify:track:2Y90nL1ohB4sgYELDs7uNx;Glory Days;Bruce Springsteen;1984
spotify:track:7EwISik6EOmK1CZhs68nsg;AÃ±os 80;Los Piratas;1998
spotify:track:5LxvwujISqiB8vpRYv887S;I Want You Back;The Jackson 5;1969
spotify:track:6j5LtifAnuTjTYvml61yFZ;Un MillÃ³n de Primaveras;Vicente FernÃ¡ndez;2001
spotify:track:68JGom6rnaOviOQ8Ch4JgW;Fiesta;Raffaella CarrÃ ;1977
spotify:track:0pENfDf4UtQF2q2A4xSi27;My Heart Goes Boom;French Affair;2000
spotify:track:1wZ7o1mZysv1l26ZWawVfW;Freedom! '90 - Remastered;George Michael;1990
spotify:track:0GB4zJkbXdXBbdJPgudwDx;Baila Mi CorazÃ³n;Belanova;2007
spotify:track:1uRKT2LRANv4baowBWHfDS;(We're Gonna) Rock Around The Clock;Bill Haley & His Comets;1954
spotify:track:1qCHidBbWAgv3pn6UbZ4Lg;Don't Go Yet;Camila Cabello;2021
spotify:track:2Foc5Q5nqNiosCNqttzHof;Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers];Daft Punk, Pharrell Williams, Nile Rodgers;2013
spotify:track:5rfJ2Bq2PEL8yBjZLzouEu;Who Can It Be Now?;Men At Work;1981
spotify:track:61UuPxxYUvacEH6SHIK3sU;Brown Sugar - Remastered 2009;The Rolling Stones;1971
spotify:track:1msphInQ8bBBQGFZkll7FX;En Que Estrella Estara;Nena Daconte;2006
spotify:track:0qe8ejgap3s39vLXc4K4dU;SalomÃ©;Chayanne;1998
spotify:track:76hfruVvmfQbw0eYn1nmeC;Cake By The Ocean;DNCE;2015
spotify:track:1ArfDNJVfisvAaowOCkpVc;Supersexy Girl;Fundacion Tony Manero;2011
spotify:track:0mlAOSILGRys2IbvyOT5VJ;Ã‰chame La Culpa;Luis Fonsi, Demi Lovato;2017
spotify:track:6KTv0Z8BmVqM7DPxbGzpVC;Rock And Roll All Nite;KISS;1975
spotify:track:62AuGbAkt8Ox2IrFFb8GKV;Sweet Caroline;Neil Diamond;1969
spotify:track:1EA3Bs174OvPIu49qj14pu;El Baile de los Pajaritos;MarÃ­a JesÃºs y su acordeÃ³n;1981
spotify:track:4TDcFkFdHnROhMYelS3x4G;Eres;Massiel;1966
spotify:track:0mnAmQX1pciMncT2qFCNmK;SUBEME LA RADIO;Enrique Iglesias, Descemer Bueno, Zion & Lennox;2017
spotify:track:2EBCVPNAG46nbgs6jXPGvv;Starships;Nicki Minaj;2012
spotify:track:46LipN9xfr9481vw8gLNRs;Y Cuanto Mas Acelero;Javi Cantero;2001
spotify:track:4bMZ60QNM6OEehI6b8RtS4;Matador - Remasterizado 2008;Los Fabulosos Cadillacs;1993
spotify:track:4AA1JmBpy3Bx5ZLAnJxOto;Me Pongo Colorada;PapÃ¡ Levante;2002
spotify:track:5sMahG7wqFxJFXNaw1BPAf;Embrujada;Tino Casal;1983
spotify:track:0KAiuUOrLTIkzkpfpn9jb9;Drive By;Train;2012
spotify:track:5rgy6ghBq1eRApCkeUdJXf;We Are Young (feat. Janelle MonÃ¡e);fun., Janelle MonÃ¡e;2011
spotify:track:39shmbIHICJ2Wxnk1fPSdz;Should I Stay or Should I Go - Remastered;The Clash;1982
spotify:track:2PzU4IB8Dr6mxV3lHuaG34;(I Can't Get No) Satisfaction - Mono Version;The Rolling Stones;1965
spotify:track:6p36K0yKWBWanXfwPuqg8z;Bailando sin salir de casa;Ole Ole;1983
spotify:track:674PSQ93mhKBnjh9snOMRl;It's a Hap-Hap-Happy World;Ambrose & His Orchestra;1939
spotify:track:50dFUtKtDS8BAaD7MVeEqI;La CanciÃ³n del Verano;La La Love You;2018
spotify:track:15tHagkk8z306XkyOHqiip;"I'll Be There for You - Theme From ""Friends""";The Rembrandts;1995
spotify:track:34jtsFqKNRSJFa0r6ZRqQh;Last Night a D.J. Saved My Life;Indeep;1982
spotify:track:3oQhgsBwOGaxr5dWKAim7Y;Vamos a la Playa;Righeira;1983
spotify:track:714hERk9U1W8FMYkoC83CO;You Sexy Thing;Hot Chocolate;1975
spotify:track:0aJrYfARfCKzv6gXjhs4SZ;Upside Down;Jack Johnson;2013
spotify:track:7HgG6kaNPUltGHFP6aIS4L;Tu Vuo FÃ  L'Americano;Renato Carosone;1956
spotify:track:2xcrseImDFEf8Urommws03;New Sensation;INXS;1988
spotify:track:23E53f3C9SJ9MqBh1f6hEw;Juramento eterno de sal;Ãlvaro De Luna;2021
spotify:track:0ntQJM78wzOLVeCUAW7Y45;Sex on Fire;Kings of Leon;2008
spotify:track:144JMbvbR5txNzoZ112wo4;Strong Enough;Cher;1999
spotify:track:2QOtabBloSf7iti6MndGIs;Eterno Verano;Miki NÃºÃ±ez, AdriÃ  Salas, Arnau Griso, Nil Moliner;2019
spotify:track:78DVpEWwmJFC25KGz8fJuE;Clavado en Un Bar;ManÃ¡;1997
spotify:track:1zW2csx1vVJrKfvDrFQNVt;Jump in the Line;Harry Belafonte;1961
spotify:track:2olVm1lHicpveMAo4AUDRB;The Power Of Love;Huey Lewis & The News;1985
spotify:track:6uojMoKuVkIVEeqH4JCBAr;Alba;Antonio Flores;1995
spotify:track:0sX3XmiVd8BAIh6kqiCk9Q;El rompeolas - Remaster 2017;Loquillo Y Los Trogloditas;1988
spotify:track:1b0zk12cACPIYKV2cC0dNt;La Fiesta De Blas;Formula V;1974
spotify:track:5CmVYFZinikaqh9Mf2J1Xl;La Ventanita;Sergio Vargas;1992
spotify:track:6ZVz2iEPeySawsWC4pU8yh;Muchas Flores;Rosario;2001
spotify:track:7qhuaYIafvH285FtQT71oQ;Al Amanecer;Los Fresones Rebeldes;1996
spotify:track:6uzGmmQ4CuG9HvZktEy0LF;QuÃ© Bonito Es Querer;Manuel Carrasco;2018
spotify:track:3f43MHFXpOqMkdu9gxEaoq;Ya No Quiero Tu Querer;JosÃ© El FrancÃ©s;2000
spotify:track:6DmfWj5kOa1fX8AwN9byOn;L.A. Woman;The Doors;1971
spotify:track:3B5UbSndRz907IZhhmUfLi;Count on Me;Bruno Mars;2010
spotify:track:4IHEOKSPSnPzjKxBktZ4J7;Pop Goes The World;Men Without Hats;1987
spotify:track:7MKO7rUZzjw8p87zdZDgqa;Besos;El Canto Del Loco;2005
spotify:track:5ZaTqcL7zIreaVNeVy89Iu;La Gota FrÃ­a;Carlos Vives;1993
spotify:track:3v9xlH6BpmRbqL7hgNJhfT;I Get Around (Mono);The Beach Boys;1964
spotify:track:42haGkGqdkjRMW4j0TC5Km;Reggae Night;Jimmy Cliff;1983
spotify:track:6kQz6t5z1FK4uohPh8Kd73;Let's Get Loud;Jennifer Lopez;1999
spotify:track:0imrhMFOWQ9XYDCnLfecYV;Don Diablo;Miguel BosÃ©;1980
spotify:track:7vJz53OhSGMIxLlwhfwqzu;Leave a Light On;Belinda Carlisle;1988
spotify:track:29SyMC0plk6qw8NMF7lfRL;You Really Got Me;The Kinks;1964
spotify:track:4yQw7FR9lcvL6RHtegbJBh;Think;Aretha Franklin;1968
spotify:track:1MB8kTH7VKvAMfL9SHgJmG;VAGABUNDO;Sebastian Yatra, Manuel Turizo, BeÃ©le;2023
spotify:track:3c7U2Kj8YL8BquVmEhybCR;Si por mi fuera;Beret;2019
spotify:track:6FT83pFXKhDlXDsNJFAHWz;You Never Can Tell;Chuck Berry;1964
spotify:track:20CozgjF6bshBw8cLhN23B;Nochentera;Vicco;2023
spotify:track:6rLqjzGV5VMLDWEnuUqi8q;Dancing In The Street;Martha Reeves & The Vandellas;1964
spotify:track:2SDx0PooHZI1SQKR0y44bs;Grace Kelly;MIKA;2007
spotify:track:2z4U9d5OAA4YLNXoCgioxo;What the Hell;Avril Lavigne;2011
spotify:track:3Vby4nGmtbDo7HDJamOWkT;Stuck In The Middle With You;Stealers Wheel;1972
spotify:track:6dGnYIeXmHdcikdzNNDMm2;Here Comes The Sun - Remastered 2009;The Beatles;1969
spotify:track:2BKy24o7zh4D0oIJmFysCW;Dale Vieja;El Combo Dominicano;2015
spotify:track:4KOIPoWgg56YkP12E1aFoQ;Mari Carmen;La Pegatina;2007
spotify:track:70YvYr2hGlS01bKRIho1HM;La Grange - 2005 Remaster;ZZ Top;1973
spotify:track:4lhqb6JvbHId48OUJGwymk;Hey Brother;Avicii;2013
spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2;I'm a Believer - 2006 Remaster;The Monkees;1967
spotify:track:6xepovPqjvrkEw9Y5AMmTm;Lambada - Original Version 1989;Kaoma;1989
spotify:track:3UaQ7rPrZt60bUyegxsedg;Que El Ritmo No Pare;Patricia Manterola;2002
spotify:track:4JfuiOWlWCkjP6OKurHjSn;Walk This Way;Aerosmith;1975
spotify:track:0byd9zFQjdxxRdCNpPMFVk;Te Quiero MÃ¡s;FÃ³rmula Abierta;2002
spotify:track:451CpDIPCEe6C33BFGL3Kh;Ven DevÃ³rame Otra Vez;Azucar Moreno;1990
spotify:track:6r8k1vznHrzlEKYxL4dZEe;La Isla Bonita;Madonna;1986
spotify:track:5kEf2tlCPICgdp7HzIpQD2;Summerlove;David TavarÃ©;2007
spotify:track:03N0ZpS5QaC9ga9i2xO9Vp;Satellites;September;2005
spotify:track:4SnU0W6LY2CD4iH5vb4kgQ;Voy en un coche;Christina y Los Subterraneos;1992
spotify:track:6guf5rr036GUC94cF4725F;Atomic;Sleeper, Rapino Brothers;1995
spotify:track:2pX4FpOgwItRVPPUFdRcxA;Smooth (feat. Rob Thomas);Santana, Rob Thomas;1999
spotify:track:6MsqqWr7iNxIeAdaE1sC3Z;Grite Una Noche;Nacha Pop;1980
spotify:track:6ebo7CQn4ILLGvXRmXHhQz;MiÃ©nteme;TINI, Maria Becerra;2021
spotify:track:5UkoitnvaDUSsq7cVsOdOh;Be My Baby;Vanessa Paradis;1992
spotify:track:6oyYKWTbYt5Zb8tIiLZbmH;Unchain My Heart;Joe Cocker;1987
spotify:track:04cdEVbQPb8BJb7593e5fO;What a Wonderful World;Joey Ramone;2002
spotify:track:65H6t1WQBim6q93yM8fEwn;Obsesion;Aventura, Judy Santos;2002
spotify:track:1rWVL9jF4t5HK3e02bo0jA;Prohibida;Raul;2001
spotify:track:2k6qpHJsrKCCyvsHv2cPqR;Diana;Paul Anka;1957
spotify:track:2xqNBP7kAqeZi96QISEGx4;Antes Que Ver El Sol;Coti, Dani MartÃ­n;2005
spotify:track:2oUBG6Te9PNzEJB17Cbmi3;El Muerto Vivo;Peret;1965
spotify:track:3TlIt0ReIxPsVZcOEivT5U;It's Not Unusual;Tom Jones;1965
spotify:track:26V1bLUk0SBYkLEwl4caPR;Clavaito;Chanel, Abraham Mateo;2023
spotify:track:7kaFsQygyiCqRboWCXztxZ;Do It Like That;TOMORROW X TOGETHER, Jonas Brothers;2023
spotify:track:1A8j067qyiNwQnZT0bzUpZ;This Girl (Kungs Vs. Cookin' On 3 Burners);Kungs, Cookin' On 3 Burners;2016
spotify:track:0vxQz6Rdul1H7rtovvjFNQ;Verano del Amor;Sidonie;2014
spotify:track:2X1P55Lrz0g5X2OQd8n4c9;MarÃ­a Caipirinha (with Dj Dero);Carlinhos Brown, DJ Dero;2003
spotify:track:3x6Z690kwrwNJuApTiN2gK;Lola;Pastora;2004
spotify:track:4MEA23StRB0TUaiVTPkbux;Verano Azul - Instrumental;Orquesta RTVE;1982
spotify:track:0ZJgIjGJdYzgb03LSH09Gx;Amoureux solitaires;Lio;1980
spotify:track:53tfEupEzQRtVFOeZvk7xq;DESPECHÃ;ROSALÃA;2022
spotify:track:2Ma2f8jV8VKMJoAcnCvZ8h;Y Yo Sigo Aqui - Spanglish;Paulina Rubio;2001
spotify:track:4V8uHuLaBRxQ02H4YNCOO7;Sopa de Caracol;Banda Blanca;1991
spotify:track:0q3A8TufZEh6giFxSMUIsf;I Feel Love;Donna Summer;1977
spotify:track:3mWpUEBYnv9SIFWfixSJFx;Can't Get Enough Of Your Love, Babe;Barry White;1974
spotify:track:2AVkArcfALVk2X8sfPRzya;Summer Nights - From â€œGreaseâ€;John Travolta, Olivia Newton-John;1978
spotify:track:1BkY0N8ChFk2mdLbAUu8ZK;Pass The Dutchie;Musical Youth;1982
spotify:track:78FJd3BMjDQCA1Hh2QfKqS;Voy a pasÃ¡rmelo bien;Hombres G;1989
spotify:track:1uKjQoh8JZj9ryuYRhpd7E;Ahora Te Puedes Marchar;Luis Miguel;1987
spotify:track:2YC3neZr19WGZ1FbBVd3Uc;Los Amigos de Mis Amigas Son Mis Amigos;Objetivo Birmania;1989
spotify:track:7xphJeLAdf3LodIwGMtQAc;Goodbye Sam Hello Samantha;Cliff Richard;1970
spotify:track:70Vdd1gx5tn84jkAU31ASv;Sexy And I Know It;LMFAO;2011
spotify:track:6tXnRSvuNgOq4QcxpIN54r;Weather With You;Crowded House;1992
spotify:track:1BwrMGGhPA6GarWIYaFrW8;La Vida Es Un Carnaval;Celia Cruz;1998
spotify:track:5k5fWendNngd89O8JKoE8L;Better When I'm Dancin';Meghan Trainor;2015
spotify:track:51RBDu31r3ynFswDJmidLW;TacatÃ  - Radio Edit;Tacabro, Romano, Sapienza, Ruly Rodriguez;2012
spotify:track:1PrlCxehcEi0KvIwKzJuOl;Everybody's Free (To Feel Good);Rozalla;1991
spotify:track:2owC2f9sCVSsd2GAKwAQar;Groenlandia;Zombies;1980
spotify:track:0n4bITAu0Y0nigrz3MFJMb;Blurred Lines;Robin Thicke, T.I., Pharrell Williams;2013
spotify:track:2Pzhx26KqgTTKnko0uC7F7;Stumblin' In - 2017 Remaster;Chris Norman, Suzi Quatro;1978
spotify:track:4bEb3KE4mSKlTFjtWJQBqO;Don't Stop - 2004 Remaster;Fleetwood Mac;1977
spotify:track:4EQOGfssbSpTlV6EZRtrSv;ULALA (OOH LA LA);Myke Towers, Daddy Yankee;2023
spotify:track:0gzqZ9d1jIKo9psEIthwXe;Beautiful Day;U2;2000
spotify:track:4n43gABaScqvSEiM8i0kkW;Devuelveme La Vida;Bustamante;2004
spotify:track:1vvNmPOiUuyCbgWmtc6yfm;My Way;Calvin Harris;2018
spotify:track:0XPayKZFFZA2PwSRNi1pVU;Terriblemente Cruel;Leiva;2012
spotify:track:6aIOfv9A3FZtQjMjyWNiJJ;Levantando las Manos;El Simbolo;1998
spotify:track:0SS7oaDTSlKFiPtzJ2oA26;La primavera;DelafÃ© y las flores azules;2010
spotify:track:7j56HrjR9cGzvekvZY3Faz;HandClap;Fitz and The Tantrums;2016
spotify:track:0IUFjvwlh18TWiTi6kO5pP;Como un burro amarrado en la puerta del baile;El Ãšltimo De La Fila;1995
spotify:track:3f2k0XTc2ZXG17jEMDu8pp;Quiero tener tu presencia;Seguridad Social;1992
spotify:track:0ByMNEPAPpOR5H69DVrTNy;Don't Stop The Music;Rihanna;2007
spotify:track:02V2iJhKyNp1ZpvTPPZTHY;Soy lo Que Me Das;Chenoa;2003
spotify:track:7zMUCLm1TN9o9JlLISztxO;Burning Love;Elvis Presley;1972
spotify:track:5ZsIUgA0tvggY0ycOOUDR2;El Puente;Los Mismos;1967
spotify:track:3NFixCH2aWtCNbZrJ3OdiB;Happy World;Blue 4 U;1994
spotify:track:2SC4TS2QvUcKvXRFGgyyDc;Turn On, Tune In, Cop Out - Radio Edit;Freak Power;1993
spotify:track:56J9sf5j7T8cPg1fOGmBRs;Si No Te Quisiera;Juan MagÃ¡n, Belinda, Lapiz Conciente;2012
spotify:track:6VUJQqyeQhAZHkQbSDqLtI;La Cintura;Alvaro Soler;2018
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V;Hips Don't Lie (feat. Wyclef Jean);Shakira, Wyclef Jean;2006
spotify:track:60nZcImufyMA1MKQY3dcCH;"Happy - From ""Despicable Me 2""";Pharrell Williams;2013
spotify:track:04j67XNNVu1HI7JrIlMM3S;"Accidentally In Love - From ""Shrek 2"" Soundtrack";Counting Crows;2004
spotify:track:1AODZVWUeYlsKoFTo2iyEA;Perdona (Ahora SÃ­ Que SÃ­);Carolina Durante, Amaia;2019
spotify:track:62LJFaYihsdVrrkgUOJC05;Kiss;Prince;1986
spotify:track:6b6IMqP565TbtFFZg9iFf3;I Can't Help Myself (Sugar Pie, Honey Bunch);Four Tops;1965
spotify:track:1JpZMDDAkfhnrO6nXIQZ2g;Noches de bohemia - Radio Edit;Navajita Platea;2000
spotify:track:2Mz7HwloqFNdA6iZeZk5PJ;Djobi, Djoba;Gipsy Kings;1988
spotify:track:39LLxExYz6ewLAcYrzQQyP;Levitating;Dua Lipa;2020
spotify:track:2x3MxkdvKiWvLor7yNeLWB;All My Loving;Los Manolos;1993
spotify:track:6inenm457lcRwlDN7GCPc4;Mediterraneo - Remasterizado;Los Rebeldes;1988
spotify:track:79qPDRmHmJ5xcU7oyS8CQ1;Horny - '98 Radio Edit;Mousse T., Hot 'N' Juicy;1998
spotify:track:3Z4ZuDrY684IFTBz2ze708;Gimme Some Lovin' - Single Mix;The Spencer Davis Group;1966
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa;...Baby One More Time;Britney Spears;1998
spotify:track:5UmGJS0jd1r52OjnNvVHvU;La Bomba;King Africa;2000
spotify:track:1DKyFVzIh1oa1fFnEmTkIl;Gloria (feat. Van Morrison) - Stereo Version;Them, Van Morrison;1964
spotify:track:6EBDmMZBQkWrj7jWlGhFU1;Doctor Jones;Aqua;1997
spotify:track:7nK3q1GgJDxlWfCwtiLV5a;A fuego lento;Rosana;1996
spotify:track:3T07pNAEVr9adeIG9i1ex4;Color Esperanza;Diego Torres;2002
spotify:track:7mDCg8XTEyDNPzC5Jdt7mu;Break Your Heart;Taio Cruz, Ludacris;2009
spotify:track:228BxWXUYQPJrJYHDLOHkj;Gasolina;Daddy Yankee;2004
spotify:track:57bgtoPSgt236HzfBOd8kj;Thunderstruck;AC/DC;1990
spotify:track:6M8horg7h52MPTxY0I3dQJ;La Bilirrubina;Juan Luis Guerra 4.40;1990
spotify:track:0Ph6L4l8dYUuXFmb71Ajnd;Livin' la Vida Loca;Ricky Martin;1999
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;1999
spotify:track:7KkdYJqxvq4ZFq9gvFy06v;D.I.S.C.O. - Single Version;Ottawan;1979
spotify:track:6eN1f9KNmiWEhpE2RhQqB5;Paradise City;Guns N' Roses;1987
spotify:track:4cluDES4hQEUhmXj6TXkSo;What Makes You Beautiful;One Direction;2011
spotify:track:6J3Cz3Ok2oI7sXebhGNKt3;CorazÃ³n Contento - Remasterizado;Marisol;1968
spotify:track:4I3rLiNr4xgRT5dRpFOltS;Me quedarÃ© solo;Amistades Peligrosas;1993
spotify:track:1hbWtHgRDG25DkmxE4I28V;Puedes Contar Conmigo;La Oreja de Van Gogh;2003
spotify:track:2oWMI54r0qT4N8Xb4C76vq;The Look;Roxette;1988
spotify:track:4Y4Gd3ty8uut6Qw43c7yJc;(Sittin' On) the Dock of the Bay;Otis Redding;1968
spotify:track:1IqFh00G2kvvMm8pRMpehA;Me and Bobby McGee;Janis Joplin;1971
spotify:track:66VmioeXL4i1TCfHIO8R9t;Desde Que Estamos Juntos;Melendi;2016
spotify:track:1JO1xLtVc8mWhIoE3YaCL0;Happy Together;The Turtles;1967
spotify:track:684oh18gBA2WtbQ6nK0tEw;DesÃ¡tame;Monica Naranjo;1997
spotify:track:7vWFaMq63AwkFDhS2OAg5u;The Time (Dirty Bit);Black Eyed Peas;2010
spotify:track:0GONea6G2XdnHWjNZd6zt3;Summer Of '69;Bryan Adams;1984
spotify:track:0NZl2KE4mhtjondn0IwJYd;Bye Bye;David Civera;2001
spotify:track:0Z9UkcT1pnrmLciUJPcMMS;Gold - 2003 Remaster;Spandau Ballet;1983
spotify:track:0XxJX5RIwUkX37UIdGZu9C;Dramas y comedias;Fangoria;2013
spotify:track:2vz1CsL5WBsbpBcwgboTAw;"Footloose - From ""Footloose"" Soundtrack";Kenny Loggins;1984
spotify:track:0GjEhVFGZW8afUYGChu3Rr;Dancing Queen;ABBA;1976
spotify:track:2PYJnUWEPPP8C6b79UiwIl;Ven Conmigo (Solamente TÃº);Christina Aguilera;2000
spotify:track:1jGnbIE9qWEn0Xi9MFRE74;Ya Llega el Verano;Bruno Lomas;1970
spotify:track:06xLo8Oa53wmBMdWcIsqPL;Mucho mejor (feat. Coque Malla);Los Rodriguez, Coque Malla;1997
spotify:track:2GYHyAoLWpkxLVa4oYTVko;Alors on danse - Radio Edit;Stromae;2009
spotify:track:0qxYx4F3vm1AOnfux6dDxP;You Can Call Me Al;Paul Simon;1986
spotify:track:4ppxWzgjvst4Mv1Kpwooeh;BÃºscate un hombre que te quiera;El Arrebato;2001
spotify:track:4cnGvmgw4jRnd0rlVqE41b;Â¡Oh! Carol;Duo Dinamico;1958
spotify:track:14iN3o8ptQ8cFVZTEmyQRV;I Kissed A Girl;Katy Perry;2008
spotify:track:0yLdNVWF3Srea0uzk55zFn;Flowers;Miley Cyrus;2023
spotify:track:6YTBfxkdGce9pLEy9jG9Jo;Mais Que Nada;Sergio Mendes & Brasil '66;1966
spotify:track:352FuGmGJClPjojSYjNrXG;JÃ¡ Sei Namorar - 2004 Digital Remaster;Tribalistas;2002
spotify:track:0WK8NzEKfSZ9mqOlaBpdfm;Ritmo de la Noche (Classic Version);The Sacados;1990
spotify:track:5TmFTHZp7HjBXjjsFvCY6h;Destination Calabria - Radio Edit;Alex Gaudino, Crystal Waters;2007
spotify:track:6Mw8jsLM0z0iBjL5beg2nF;AdiÃ³s papÃ¡;Los Ronaldos;1987
spotify:track:3yfki4r5cgFA784trLoHnk;Living In A Haze;Milky Chance;2023
spotify:track:4hnNgPIIZsTE0F2cpfnL4a;Como TÃº;Edurne, Efecto Pasillo;2015
spotify:track:1gcESexgftSuLuML57Y69q;All Right Now;Free;1970
spotify:track:5aIfLbdgkbH7NbQryd1poB;Samba de Janeiro;Bellini;1997
spotify:track:4knc1Fp3kbuq8bH2byOvLu;Ãndigo;Camilo, Evaluna Montaner;2021
spotify:track:1YJ4vpxPL6Wgo8gmRnvqSp;There Must Be an Angel (Playing With My Heart);Eurythmics, Annie Lennox, Dave Stewart;1985
spotify:track:1mvZErZBp7WZT3HfGBykao;Cry for You;September;2006
spotify:track:5MMnwYs0hIxkENRsbkWJ2G;Smoke On The Water - Remastered 2012;Deep Purple;1972
spotify:track:1WN4uNclrDuczTO3bCr8s1;Be My Baby;The Ronettes;1963
spotify:track:6e8Ou0wiqAzIpWb2eSxll8;Miami;Will Smith;1998
spotify:track:7LrM28pPWCpJYmbnaxHBmu;Pokito a Poko;Chambao;2005
spotify:track:2NX7IEg90aAZ4s3LK0Ebso;Oye El Boom;David Bisbal;2004
spotify:track:4POgt5ayni68MeLqclubcC;Red Red Wine;UB40;1983
spotify:track:3df4fSoW5zsdNi5Wf3K5RP;TÃº No Eres Para Mi;Fanny Lu;2008
spotify:track:4qbi9JDziBh3cxi9SFUbeu;Baila Morena (with Luny Tunes, Noriega) - Remix;Hector & Tito, Luny Tunes, Noriega;2005
spotify:track:5aY2pfyGLxBpuI4TruqmQx;LAS 12;Ana Mena, Belinda;2023
spotify:track:6MTd61g9zq6CB1FnJydjEb;Sugar Sugar;The Archies;1969
